CAND_NAME,TTL_RCPTS,PACS,Individual_contributions
Kamala Harris,1994250157,842989903,1151260254
Donald Trump,1452617443,988954718,463662725
Jill Stein,2711112,0,2711112
Doug Burgum,41221945,24148569,17073376	
