Name,Website,Matched Name
Rick Scott,https://www.rickscott.senate.gov/,"SCOTT, RICK SEN"
Tim Scott,https://www.scott.senate.gov/,"SCOTT, TIMOTHY E."
Jeanne Shaheen,https://www.shaheen.senate.gov,"SHAHEEN, JEANNE"
Tim Sheehy,https://www.sheehy.senate.gov/,"SHEEHY, TIM"
Elissa Slotkin,https://www.slotkin.senate.gov/,"SLOTKIN, ELISSA"
Tina Smith,https://www.smith.senate.gov,"SMITH, TINA"
Dan Sullivan,https://www.sullivan.senate.gov,"SULLIVAN, DAN"
John Thune,https://www.thune.senate.gov/,"THUNE, JOHN R."
Thom Tillis,https://www.tillis.senate.gov,"TILLIS, THOM R. SEN."
Tommy Tuberville,https://www.tuberville.senate.gov,"TUBERVILLE, THOMAS H"
Chris Van Hollen,https://www.vanhollen.senate.gov,"VAN HOLLEN, CHRIS"
Mark R. Warner,https://www.warner.senate.gov,"WARNER, MARK ROBERT"
Raphael G. Warnock,https://www.warnock.senate.gov,"WARNOCK, RAPHAEL"
Elizabeth Warren,https://www.warren.senate.gov,"WARREN, ELIZABETH"
Peter Welch,https://www.welch.senate.gov/,"WELCH, PETER"
Sheldon Whitehouse,https://www.whitehouse.senate.gov/,"WHITEHOUSE, SHELDON"
Roger F. Wicker,https://www.wicker.senate.gov,"WICKER, ROGER SEN."
Ron Wyden,https://www.wyden.senate.gov/,"WYDEN, RONALD L."
Todd Young,https://www.young.senate.gov,"YOUNG, TODD CHRISTOPHER"
